                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.226,                 2.7866,                 1.4819,                0.66016,                0.47148,                 0.4242,                0.28292,                0.95285,                 4.4737,                 1.3929,                0.00015,                0.00015,                0.00015
                      2,                0.84204,                 1.2456,                 1.1508,                0.37402,                 0.8023,                 0.4938,                0.30872,                0.92036,                 16.337,                 1.3966,             0.00030941,             0.00030941,             0.00030941
                      3,                0.82764,                 1.1259,                 1.1256,                0.32893,                0.67506,                0.35566,                0.21331,                0.92757,                 13.776,                 1.6983,              0.0004656,              0.0004656,              0.0004656
                      4,                0.86068,                 1.0019,                 1.1664,                0.29671,                0.71887,                0.37583,                0.20133,                 1.1438,                 6.4795,                 1.6544,             0.00061857,             0.00061857,             0.00061857
                      5,                0.83976,                0.99486,                 1.1685,                0.00989,                0.19233,                0.00799,                 0.0056,                 1.2783,                    inf,                 1.8615,             0.00076832,             0.00076832,             0.00076832
                      6,                0.85377,                 1.0225,                 1.1677,                0.30548,                0.72456,                0.35583,                0.20578,                 0.9129,                 19.218,                 1.4945,             0.00091486,             0.00091486,             0.00091486
                      7,                 0.8554,                 1.0082,                 1.1735,                0.25781,                0.49293,                0.31915,                0.20539,                 1.1425,                  5.999,                 1.5973,              0.0010582,              0.0010582,              0.0010582
                      8,                 0.8596,                0.95799,                 1.1211,                0.33731,                0.49481,                 0.3711,                0.23136,                 1.1435,                 3.5817,                 1.6353,              0.0011634,              0.0011634,              0.0011634
                      9,                 0.8819,                0.98127,                 1.1517,                0.57636,                0.63283,                0.62447,                0.42683,                 0.9149,                 3.5901,                 1.3487,               0.001151,               0.001151,               0.001151
                     10,                 0.8171,                  0.903,                 1.1278,                0.68923,                0.57654,                0.61806,                 0.4124,                0.89284,                 2.5669,                 1.3297,              0.0011386,              0.0011386,              0.0011386
                     11,                0.87837,                0.88849,                 1.1722,                0.62729,                0.48927,                 0.5494,                0.34806,                 1.0333,                 1.9761,                 1.5238,              0.0011263,              0.0011263,              0.0011263
                     12,                0.81215,                 0.8424,                 1.1462,                0.60416,                0.70817,                 0.6751,                0.44923,                0.98851,                 1.4055,                 1.3146,              0.0011139,              0.0011139,              0.0011139
                     13,                0.81315,                0.80203,                 1.1338,                0.67699,                0.69669,                0.75935,                0.49455,                0.93177,                 1.4544,                 1.2895,              0.0011015,              0.0011015,              0.0011015
                     14,                0.76566,                0.76681,                 1.1068,                0.62621,                 0.7401,                0.73632,                0.49085,                0.82583,                 1.1957,                 1.2415,              0.0010891,              0.0010891,              0.0010891
                     15,                0.72846,                0.69044,                 1.0807,                0.71955,                0.79544,                0.78706,                0.52933,                0.84592,                0.98947,                 1.1952,              0.0010768,              0.0010768,              0.0010768
                     16,                0.75515,                0.70955,                 1.0789,                 0.7091,                0.79042,                 0.8143,                0.58532,                0.71968,                0.83094,                 1.1052,              0.0010644,              0.0010644,              0.0010644
                     17,                 0.7306,                0.69023,                 1.0789,                0.72799,                0.79978,                0.80837,                0.58868,                0.76978,                0.84654,                 1.1263,               0.001052,               0.001052,               0.001052
                     18,                0.73316,                0.71524,                 1.0954,                0.75908,                0.73281,                0.81379,                 0.5979,                 0.7016,                0.77966,                 1.1011,              0.0010396,              0.0010396,              0.0010396
                     19,                0.70944,                0.68093,                 1.0668,                0.69157,                0.77883,                0.75779,                0.58089,                0.72787,                0.88778,                 1.1344,              0.0010273,              0.0010273,              0.0010273
                     20,                0.68684,                0.66944,                  1.051,                0.65366,                0.63951,                0.70223,                0.51905,                0.74085,                 1.0902,                  1.121,              0.0010149,              0.0010149,              0.0010149
                     21,                0.63671,                0.64555,                 1.0182,                 0.7548,                  0.673,                0.74882,                0.52518,                0.75518,                0.93249,                 1.1196,              0.0010025,              0.0010025,              0.0010025
                     22,                0.72371,                0.65425,                 1.0953,                0.65434,                0.75139,                0.81026,                0.59164,                0.70072,                0.82978,                 1.0888,             0.00099013,             0.00099013,             0.00099013
